Nombre.de.Comunidad,Código.de.Provincia,Nombre.de.Provincia,Población,Total.censo.electoral,Total.votantes,Votos.válidos,Votos.a.candidaturas,Votos.en.blanco,Votos.nulos,siglas,votos,sobrevalido,swingfactor_abs,swingfactor
Galicia,27,Lugo,339386,348561,196272,192957,190869,2088,3315,PSOE,45796,23.733785247490374,1.3034240559407635,1.048775309213008
Galicia,32,Ourense,318391,364469,188562,186177,184650,1527,2385,PSOE,43429,23.326726717048828,1.4398541976695018,1.0307877471077698
Galicia,36,Pontevedra,947374,901233,551762,544673,540255,4418,7089,PSOE,118816,21.814189431089847,1.1568313436579687,0.9639500411440498
Comunidad de Madrid,28,Madrid,6436996,4927932,3489376,3465795,3447658,18137,23581,PSOE,678340,19.572421334787546,0.8708794774093342,0.8648882604855301
Comunidad Foral de Navarra,31,Navarra,640476,502530,338720,335335,331867,3468,3385,PSOE,58173,17.347726899965707,0.9724659571019328,0.7665809500647683
País Vasco,1,Araba - Álava,323648,254579,169331,167640,166562,1078,1691,PSOE,26381,15.736697685516582,0.9989818840878956,0.6953909715208388
País Vasco,20,Gipuzkoa,716834,580706,367464,365493,362782,2711,1971,PSOE,51449,14.07660338228092,1.0955001058829656,0.6220328494158603
País Vasco,48,Bizkaia,1148775,948080,625444,621219,617312,3907,4225,PSOE,86425,13.912163021414347,1.0152285669577845,0.6147663730187516
Región de Murcia,30,Murcia,1467288,1034075,719536,713592,709879,3713,5944,PSOE,144937,20.310905951860448,0.9074411158162694,0.8975212528440322
La Rioja,26,La Rioja,317053,247670,174913,172982,171757,1225,1931,PSOE,42010,24.285763836699772,0.8763899110111971,1.0731667625585406
Comunitat Valenciana,3,Alicante / Alacant,1855047,1253296,882601,875169,870331,4838,7432,PSOE,187484,21.422605233960525,0.882386925972212,0.9466462763570714
Comunitat Valenciana,12,Castellón / Castelló,582327,416491,302324,299204,297135,2069,3120,PSOE,66062,22.07925027740271,0.8177695926626533,0.9756628492002966
Comunitat Valenciana,46,Valencia / València,2543315,1946046,1431843,1419521,1411013,8508,12322,PSOE,285732,20.128761744278528,0.7882745302115405,0.8894724588722284
Ciudad de Ceuta,51,Ceuta,84263,61587,31194,30837,30521,316,357,PSOE,6974,22.61568894509842,1.4722464326906544,0.9993676069420424
Ciudad de Melilla,52,Melilla,85584,57795,27483,27121,26853,268,362,PSOE,6805,25.091257696987572,1.564661203773274,1.1087608350414306
Andalucía,4,Almería,701211,491496,308989,306674,304461,2213,2315,C's,41897,13.661738523643999,1.1077851234609697,1.0460749252407349
Andalucía,11,Cádiz,1240284,993689,622252,615755,608817,6938,6497,C's,88029,14.296108029979457,1.115143277818196,1.094648394332271
Andalucía,14,Córdoba,795611,651184,452038,446818,442329,4489,5220,C's,55248,12.36476596735136,0.91235500030757255,0.946766153702248
Andalucía,18,Granada,917297,748579,494171,489540,486116,3424,4631,C's,66000,13.482044368182375,1.0138859719771813,1.032315801545358
Andalucía,21,Huelva,520017,396117,249269,245819,243293,2526,3450,C's,28685,11.669154947339303,1.1059628648205073,0.8935034416033156
Andalucía,23,Jaén,654170,532211,375082,370762,368217,2545,4320,C's,38884,10.487590421887896,0.88078212057665906,0.8030314258719675
Andalucía,29,Málaga,1628973,1163657,752086,744858,738680,6178,7228,C's,121294,16.284177655338333,1.0551538057793985,1.246874246197422
Andalucía,41,Sevilla,1941480,1531806,1044851,1033112,1023530,9582,11739,C's,138086,13.366024206475194,0.9483770879627175,1.0234321750746702
Aragón,22,Huesca,222909,173546,118018,116884,115680,1204,1134,C's,17934,15.343417405290715,0.95453841968319,1.1748405363928571
Aragón,44,Teruel,138932,109380,75932,74922,74218,704,1010,C's,9871,13.175035370118257,0.9122801505207698,1.0088082212954255
Aragón,50,Zaragoza,956006,734064,517144,513135,509011,4124,4009,C's,86434,16.844300232882183,0.8815798597753839,1.2897626518286511
Principado de Asturias,33,Asturias,1051229,982837,600463,594699,589325,5374,5764,C's,74961,12.604863973203251,1.1606541982188268,0.9651503807965736
Illes Balears,7,Illes Balears,1104479,772939,469437,464787,460561,4226,4650,C's,67700,14.565811866510897,1.171419168730247,1.1152995303607118
Canarias,35,Las Palmas,1098406,842916,508957,502506,499004,3502,6451,C's,65172,12.969397380329786,1.1819656201767403,0.9930625865489882
Canarias,38,Santa Cruz de Tenerife,1001900,833373,481925,476666,473883,2783,5259,C's,52576,11.029945496427269,1.2581071785374423,0.844559379512042
Cantabria,39,Cantabria,585179,498203,341348,337567,335113,2454,3781,C's,48626,14.404844075398366,0.9392647389515052,1.1029742783612837
Castilla - La Mancha,2,Albacete,394580,310083,221706,219473,218043,1430,2233,C's,31976,14.569445899951248,0.8502708455678165,1.115577787132561
Castilla - La Mancha,13,Ciudad Real,513713,400552,282634,279396,277457,1939,3238,C's,33126,11.856289996993514,0.8782480415689832,0.9078323121740822
Castilla - La Mancha,16,Cuenca,203841,157835,117118,115849,115026,823,1269,C's,10868,9.38117722207356,0.7696060045183283,0.718313722976536
Castilla - La Mancha,19,Guadalajara,253686,182408,132903,131538,130716,822,1365,C's,21586,16.41046693731089,0.8096571833145115,1.256544175904356
Castilla - La Mancha,45,Toledo,693371,518206,371866,367503,365529,1974,4363,C's,47705,12.980846414859199,0.842474187866627,0.99393923544098
Castilla y León,5,Ávila,164925,139218,100106,98917,98200,717,1189,C's,14096,14.250331085657672,0.8381285291099745,1.0911432684270805
Castilla y León,9,Burgos,364002,300243,209246,206981,205169,1812,2265,C's,30361,14.668496142157975,0.9041701679078291,1.1231620323245004
Castilla y León,24,León,479395,440263,284076,280858,278461,2397,3218,C's,35870,12.771578520106248,1.0583484659042242,0.9779156600387632
Castilla y León,34,Palencia,166035,143769,101838,100626,99788,838,1212,C's,12428,12.350684713692287,0.8700935674605698,0.9456879566380005
Castilla y León,37,Salamanca,339395,308612,204615,202483,201040,1443,2132,C's,31878,15.743543902451071,1.0053192356495122,1.2054780936026854
Castilla y León,40,Segovia,157570,120823,89662,88525,87910,615,1137,C's,13595,15.357243716464275,0.7694098847172584,1.1758992125929766
Castilla y León,42,Soria,91006,76814,50337,49618,49018,600,719,C's,5679,11.445443185940587,1.0283107699701468,0.8763739039770739
Castilla y León,47,Valladolid,526288,433056,319280,315768,313534,2234,3512,C's,49283,15.60734463276836,0.7837951850043215,1.195049359323764
Castilla y León,49,Zamora,183436,173320,110339,108893,107883,1010,1446,C's,12423,11.408446823946443,1.0840688406176278,0.8735411044369404
Cataluña,8,Barcelona,5523922,4131319,2659818,2643933,2622852,21081,15885,C's,305075,11.538681199561411,1.0625951302898626,0.8835131086953607
Cataluña,17,Girona,753054,512366,310377,307853,305211,2642,2524,C's,23748,7.714071326249866,1.1760977155007135,0.5906639606623174
Cataluña,25,Lleida,436029,313207,182909,181159,179003,2156,1750,C's,12592,6.950800125856292,1.2410871524930254,0.5322205303105889
Cataluña,43,Tarragona,795101,562990,347861,344620,341560,3060,3241,C's,39082,11.340607045441356,1.139972218737824,0.8683466344135801
Extremadura,6,Badajoz,686730,558228,382981,377949,375230,2719,5032,C's,40417,10.693770852681181,0.9365586208921605,0.8188185951516984
Extremadura,10,Cáceres,406267,349082,239735,236205,234666,1539,3530,C's,24343,10.30587836836646,0.9344916107886598,0.7891177923710919
Galicia,15,A Coruña,1127196,1087472,651065,643389,636696,6693,7676,C's,60347,9.37955109583782,1.1972080117288424,0.7181892110136157
Galicia,27,Lugo,339386,348561,196272,192957,190869,2088,3315,C's,13343,6.915012152966724,1.3034240559407635,0.5294802567355837
Galicia,32,Ourense,318391,364469,188562,186177,184650,1527,2385,C's,13133,7.054039972714138,1.4398541976695018,0.5401255721833184
Galicia,36,Pontevedra,947374,901233,551762,544673,540255,4418,7089,C's,48302,8.868073137460458,1.1568313436579687,0.6790255082282127
